A1BG
A2M
ABCA1
ABCA7
ABCB1
ABCB11
ABCB9
ABCC1
ABCC2
ABCC3
ABCC4
ABCC5
ABCF2
ABCG1
ABCG2
ABHD11
ABHD4
ABI3
ACAA2
ACACA
ACAD9
ACADM
ACADS
ACAN
ACAT1
ACAT2
ACE
ACHE
ACKR3
ACLY
ACO1
ACO2
ACOT1
ACOT2
ACOT7
ACOX1
ACP1
ACP5
ACSL1
ACSS2
ACTA1
ACTA2
ACTB
ACTC1
ACTG1
ACTG2
ACTN1
ACTR3
ADAM10
ADAM17
ADAM9
ADAMTS1
ADAMTS4
ADCK3
ADCY3
ADH1A
ADI1
ADIPOQ
ADIPOR2
ADM
ADORA2A
ADORA2B
ADRB1
ADRB2
AFP
AGER
AGO2
AGPAT9
AGR2
AGT
AGTR1
AGTR2
AHCTF1
AHCY
AHR
AHSG
AIF1
AIFM1
AK1
AK2
AK3
AK4
AKAP12
AKR1A1
AKR1B1
AKR1B10
AKR1C1
AKR1C3
AKT1
AKT2
ALAD
ALAS1
ALB
ALDH1A1
ALDH1A3
ALDH1L2
ALDH2
ALDH3A2
ALDH6A1
ALDOA
ALDOC
ALOX5
ALOX5AP
ALPI
ALPK1
ALPL
AMBP
AMD1
AMFR
AMOTL2
AMPD3
ANAPC1
ANGPT1
ANGPT2
ANGPTL4
ANKFY1
ANKRD1
ANKRD37
ANKZF1
ANLN
ANP32E
ANPEP
ANXA1
ANXA2
ANXA3
ANXA5
ANXA6
AOX1
AP1G1
AP1S3
APAF1
APC
APCS
APEX1
APIP
APLP2
APOA1
APOA2
APOA4
APOB
APOC1
APOD
APOE
APP
AQP1
AQP2
AQP3
AQP4
AR
ARC
AREG
ARF1
ARFGEF2
ARG1
ARG2
ARHGDIA
ARID3B
ARL1
ARNT
ARNTL
ARPC1B
ARPC4
ASB7
ASNS
ASPH
ASPM
ASS1
ATF1
ATF2
ATF3
ATF4
ATF6
ATG12
ATG3
ATG5
ATG7
ATM
ATOX1
ATP1A1
ATP1B3
ATP2A2
ATP5A1
ATP5B
ATP6V0D1
ATP7A
ATP7B
AURKA
AURKB
AVP
AXIN2
B2M
B3GNT3
B3GNT5
B4GALT2
BACE1
BAD
BAG3
BAK1
BANF2
BAX
BBC3
BBOX1
BCAR1
BCAR3
BCHE
BCL10
BCL2
BCL2A1
BCL2L1
BCL2L11
BCL2L2
BCL3
BDKRB2
BDNF
BECN1
BEX1
BGLAP
BGN
BHMT
BID
BIN1
BIRC2
BIRC3
BIRC5
BLM
BMI1
BMP2
BMP4
BNIP2
BNIP3
BNIP3L
BRCA1
BTG2
BTK
BUB1
BUB1B
BZW1
C1QB
C1R
C1S
C3
C4B
C5
C6
C8A
C8B
CA2
CACNA1A
CACNA2D1
CACYBP
CALCA
CALM1
CALM2
CALML3
CALML4
CALR
CAMK2A
CAMK4
CAPN1
CAPN2
CAPNS1
CARD10
CASP1
CASP3
CASP4
CASP6
CASP7
CASP8
CASP9
CASS4
CAT
CAV1
CAV3
CCDC12
CCDC65
CCDC88A
CCK
CCL2
CCL20
CCL26
CCL3
CCL4
CCL5
CCL7
CCNA2
CCNB1
CCNB2
CCND1
CCND2
CCND3
CCNE1
CCNE2
CCNF
CCNG2
CCNL2
CCNT1
CCPG1
CCR2
CCS
CD14
CD24
CD2AP
CD300LF
CD33
CD36
CD4
CD40
CD40LG
CD44
CD47
CD68
CD86
CD9
CDC20
CDC25A
CDC25C
CDC42
CDC42EP2
CDCA2
CDCA5
CDCA8
CDH1
CDH13
CDH2
CDH3
CDK1
CDK2
CDK4
CDK5
CDK5RAP3
CDK6
CDK9
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2C
CDKN3
CDO1
CEACAM1
CEBPA
CEBPB
CEBPD
CEBPG
CENPA
CENPE
CENPF
CES1
CETN3
CFB
CFD
CFH
CFL1
CFLAR
CFTR
CGA
CHAC1
CHAT
CHEK1
CHEK2
CHGA
CHIC2
CHRM1
CHRM2
CHRM3
CHRNA4
CHRNA7
CHRNB1
CHRNB2
CHRND
CHUK
CIDEA
CIDEB
CITED2
CKAP2
CKB
CKM
CKMT2
CKS1B
CKS2
CLCF1
CLCN5
CLDN1
CLDN11
CLDN2
CLDN4
CLEC3B
CLEC6A
CLIC4
CLK1
CLMP
CLSTN1
CLU
CNN1
CNN3
CNR1
COL12A1
COL18A1
COL1A1
COL1A2
COL2A1
COL3A1
COL4A1
COL5A1
COL5A2
COL6A1
COL6A2
COL7A1
COLEC12
COMMD1
COMMD10
COPE
COX4I1
COX5A
COX5B
COX6A1
COX7B
CP
CPE
CPN1
CPT1A
CPT1B
CPT2
CR1
CREB1
CREBBP
CREM
CRH
CRISPLD2
CRK
CROT
CRP
CRY1
CRYAB
CRYZ
CS
CSE1L
CSF1
CSF1R
CSF2
CSPP1
CSRP2
CST3
CSTF3
CTCFL
CTGF
CTH
CTNNAL1
CTNNB1
CTSB
CTSC
CTSD
CTSH
CTSK
CTSL
CTSS
CTTN
CX3CL1
CXCL1
CXCL10
CXCL12
CXCL14
CXCL2
CXCL3
CXCL5
CXCL6
CXCL8
CXCR4
CYB5B
CYB5R3
CYBA
CYBB
CYC1
CYCS
CYLD
CYP17A1
CYP19A1
CYP1A1
CYP1A2
CYP1B1
CYP24A1
CYP26A1
CYP26B1
CYP27A1
CYP2B6
CYP2C9
CYP2D6
CYP2E1
CYP2R1
CYP3A4
CYP3A5
CYP46A1
CYP7A1
CYP7B1
CYYR1
DAG1
DAXX
DBF4
DBH
DBN1
DCLK1
DCN
DCTN3
DDB2
DDC
DDIT3
DDIT4
DDR2
DDX17
DDX18
DECR1
DEDD2
DES
DFFA
DFFB
DGAT2
DHCR24
DHCR7
DHRS3
DIABLO
DIO2
DKK1
DKK2
DLC1
DLD
DLG4
DLGAP5
DMBT1
DNAJA1
DNAJB1
DNAJB13
DNAJB4
DNAJB9
DNAJC10
DNM1L
DNMT1
DNMT3A
DNMT3B
DOCK3
DPM1
DPP4
DPYSL2
DRD1
DRD2
DST
DTYMK
DUSP1
DUSP10
DUSP2
DUSP5
DUSP6
DYNLL1
E2F1
E2F8
EBP
ECE1
ECH1
ECHS1
ECI1
EDN1
EDNRA
EDNRB
EEF1A1
EEF1G
EEF2
EEF2K
EFNB2
EGF
EGFR
EGLN1
EGLN3
EGR1
EGR2
EID2
EIF1
EIF2A
EIF2AK2
EIF2AK3
EIF2B4
EIF2S1
EIF4E
EIF4EBP1
EIF5
EIF5A
ELAC2
ELF3
ELK1
ELL2
ELN
ELOVL3
ELOVL6
EMC3
EMP1
ENAH
ENC1
ENDOG
ENO1
ENO2
ENO3
ENPP2
EP300
EPAS1
EPC1
EPHA1
EPHB6
EPHX1
EPO
EPOR
EPSTI1
ERBB2
ERBB3
ERBB4
ERCC1
ERCC4
ERCC6
ERN1
ESPN
ESR1
ESR2
ETFA
ETFB
ETS1
ETS2
EXOSC2
EZH2
EZR
F13A1
F2
F2R
F3
FABP1
FABP2
FABP3
FABP4
FADD
FADS1
FANCI
FAS
FASLG
FASN
FBN1
FBP1
FBXO15
FBXO3
FBXO30
FBXO32
FCER1G
FDPS
FECH
FEN1
FGF1
FGF2
FGFR1
FIGNL1
FIS1
FKBP1B
FKBP4
FKBP5
FLCN
FLNC
FLRT2
FLT1
FMO2
FN1
FNTB
FOS
FOSB
FOSL1
FOSL2
FOXA1
FOXA2
FOXF2
FOXM1
FOXO1
FOXO3
FOXO4
FSHB
FSTL1
FTH1
FTL
FTMT
FUBP1
FXYD5
FYTTD1
FZD4
G0S2
G6PC
G6PD
GABARAPL1
GABPA
GAD1
GADD45A
GADD45B
GADD45G
GAL
GAPDH
GAPDHS
GART
GAS1
GAS2L1
GAS6
GAST
GATA2
GATA3
GATA4
GATM
GBE1
GCAT
GCH1
GCK
GCLC
GCLM
GCNT2
GCNT3
GDF15
GDI1
GDPD3
GEM
GFAP
GGT1
GH1
GHITM
GHR
GHRL
GJA1
GK
GLA
GLB1
GLI1
GLO1
GLRX
GLS
GLUD1
GLUL
GMFB
GNAI1
GNAI2
GNAI3
GNAS
GNB1
GNRH1
GOSR2
GOT1
GPAM
GPC1
GPD1
GPD2
GPRC5A
GPT
GPX1
GPX2
GPX3
GPX4
GPX5
GPX6
GRB10
GRB2
GREM1
GRIA1
GRIK2
GRIK5
GRIN1
